# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 12 06:00:32 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_locale:    Discovery Locale
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN disc_instrument: Discovery Instrument
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,sy_dist
1,11 Com b,11 Com,2,1,0,Radial Velocity,2007,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,326.03000000,1.290000,12.100,6165.60000,93.1846000
2,11 UMi b,11 UMi,1,1,0,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,516.21997000,1.530000,12.300,4684.81420,125.3210000
3,14 And b,14 And,1,1,0,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,185.84000000,0.830000,12.900,1525.50000,75.4392000
4,14 Her b,14 Her,1,2,0,Radial Velocity,2002,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,1765.03890112,2.773069,12.600,2586.74645,17.9323000
5,16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,1996,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,798.50000000,1.660000,13.500,565.73740,21.1397000
6,17 Sco b,17 Sco,1,1,0,Radial Velocity,2020,Ground,Lick Observatory,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,578.38000000,1.450000,12.900,1373.01872,124.9530000
7,18 Del b,18 Del,2,1,0,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,993.30000000,2.600000,12.500,3273.50000,76.2220000
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,2008,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,,330.000000,18.647,3000.00000,139.1350000
9,24 Boo b,24 Boo,1,1,0,Radial Velocity,2018,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,30.35060000,0.190000,13.900,289.22530,95.9863000
10,24 Sex b,24 Sex,1,2,0,Radial Velocity,2010,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,452.80000000,1.333000,13.400,632.46000,72.0691000
11,24 Sex c,24 Sex,1,2,0,Radial Velocity,2010,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,883.00000000,2.080000,13.900,273.32000,72.0691000
12,2M0437 b,2MASS J04372171+2651014,1,1,0,Imaging,2021,Ground,Subaru Telescope,8.2 m Subaru Telescope,Infrared Camera and Spectrograph (IRCS),,118.000000,13.000,1271.31363,128.4840000
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,Imaging,2013,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,,84.000000,12.300,4131.79000,47.2000000
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,2013,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,,52.000000,11.209,7786.50000,33.8281000
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,Imaging,2015,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,,156.000000,16.141,4417.83700,40.0896412
16,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,Imaging,2010,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,,15.000000,12.600,2383.60000,120.4239870
17,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,2004,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,,55.000000,12.900,1589.15000,64.3080000
18,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,2015,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,406.00000000,0.920000,13.400,603.87700,396.3320000
19,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,2016,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,,230.000000,12.300,3972.87500,69.5737000
20,30 Ari B b,30 Ari B,4,1,0,Radial Velocity,2009,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,335.10001000,0.990000,12.300,4392.41060,44.6570000
21,4 UMa b,4 UMa,1,1,0,Radial Velocity,2006,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,269.30000000,0.870000,12.700,2256.50000,73.4603000
22,42 Dra b,42 Dra,2,1,0,Radial Velocity,2008,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,479.10000000,1.190000,13.000,1233.13000,90.6545000
23,47 UMa b,47 UMa,1,3,0,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,1078.00000000,2.100000,13.200,804.08000,13.7967000
24,47 UMa c,47 UMa,1,3,0,Radial Velocity,2001,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,2391.00000000,3.600000,14.200,171.62100,13.7967000
25,47 UMa d,47 UMa,1,3,0,Radial Velocity,2009,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,14002.00000000,11.600000,13.500,521.22000,13.7967000
26,51 Eri b,51 Eri,3,1,0,Imaging,2015,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,11688.00000000,13.200000,13.400,635.66000,29.7575000
27,51 Peg b,51 Peg,1,1,0,Radial Velocity,1995,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,4.23078500,0.052700,14.300,146.20180,15.4614000
28,55 Cnc b,55 Cnc,2,5,0,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,14.65160000,0.113400,13.900,263.97850,12.5855000
29,55 Cnc c,55 Cnc,2,5,0,Radial Velocity,2004,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,44.39890000,0.237300,8.510,54.47380,12.5855000
30,55 Cnc d,55 Cnc,2,5,0,Radial Velocity,2002,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,5574.20000000,5.957000,13.000,1232.49300,12.5855000
31,55 Cnc e,55 Cnc,2,5,0,Radial Velocity,2004,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,0.73654740,0.015440,1.875,7.99000,12.5855000
32,55 Cnc f,55 Cnc,2,5,0,Radial Velocity,2007,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,259.88000000,0.770800,7.590,44.81200,12.5855000
33,6 Lyn b,6 Lyn,1,1,0,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,934.30000000,2.110000,13.400,638.83830,54.6599000
34,61 Vir b,61 Vir,1,3,0,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,4.21500000,0.050201,2.110,5.10000,8.5033200
35,61 Vir c,61 Vir,1,3,0,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,38.02100000,0.217500,4.460,18.20000,8.5033200
36,61 Vir d,61 Vir,1,3,0,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,123.01000000,0.476000,5.110,22.90000,8.5033200
37,7 CMa b,7 CMa,1,2,0,Radial Velocity,2011,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,735.10000000,1.758000,13.400,587.98550,19.8101000
38,7 CMa c,7 CMa,1,2,0,Radial Velocity,2019,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,996.00000000,2.153000,13.900,276.51210,19.8101000
39,70 Vir b,70 Vir,1,1,0,Radial Velocity,1996,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,116.68800000,0.481000,12.600,2380.45000,17.9011000
40,75 Cet b,75 Cet,2,1,0,Radial Velocity,2012,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,691.90000000,2.100000,13.100,953.49000,82.9613000
41,8 UMi b,8 UMi,1,1,0,Radial Velocity,2015,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,93.40000000,0.490000,13.600,416.35730,162.5520000
42,81 Cet b,81 Cet,1,1,0,Radial Velocity,2008,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,952.70000000,2.500000,12.800,1684.40000,101.2600000
43,91 Aqr b,91 Aqr,3,1,0,Radial Velocity,2013,Ground,Lick Observatory,0.6 m Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,181.40000000,0.700000,13.100,1017.00000,44.0304000
44,AB Aur b,AB Aur,1,1,0,Imaging,2022,Ground,Subaru Telescope,8.2 m Subaru Telescope,Subaru Coronagraphic Extreme Adaptive Opti,,93.900000,12.500,2860.45566,162.1270000
45,AB Pic b,AB Pic,1,1,0,Imaging,2005,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,,260.000000,12.300,4290.50000,50.0475000
46,AU Mic b,AU Mic,1,2,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,8.46299910,0.064500,4.070,20.12000,9.7221000
47,AU Mic c,AU Mic,1,2,0,Transit,2021,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,18.85899100,0.110100,3.240,9.60000,9.7221000
48,BD+03 2562 b,BD+03 2562,1,1,0,Radial Velocity,2017,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,481.90000000,1.300000,12.700,2034.11200,1070.6300000
49,BD+14 4559 b,BD+14 4559,1,1,0,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,268.94000000,0.780000,13.800,330.54320,49.3520000
50,BD+15 2375 b,BD+15 2375,1,1,0,Radial Velocity,2016,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,153.22000000,0.576000,13.800,337.21763,768.0450000
51,BD+15 2940 b,BD+15 2940,1,1,0,Radial Velocity,2013,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,137.48000000,0.539000,13.700,352.78000,426.4200000
52,BD+20 2457 b,BD+20 2457,1,2,0,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,379.63000000,1.050000,11.600,17668.16970,1539.7100000
53,BD+20 2457 c,BD+20 2457,1,2,0,Radial Velocity,2009,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,621.99000000,2.010000,12.400,3963.17000,1539.7100000
54,BD+20 274 b,BD+20 274,1,1,0,Radial Velocity,2012,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,578.20000000,1.300000,13.000,1334.88600,1322.5100000
55,BD+20 594 b,BD+20 594,1,1,0,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,41.68550000,0.241000,2.578,22.24810,179.4610000
56,BD+45 564 b,BD+45 564,1,1,0,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,307.88000000,0.830000,13.600,432.24663,53.6220000
57,BD+48 738 b,BD+48 738,1,1,0,Radial Velocity,2011,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,392.60000000,1.000000,13.900,289.22530,871.4930000
58,BD+48 740 b,BD+48 740,1,1,0,Radial Velocity,2018,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,733.00000000,1.700000,13.500,540.31100,666.5890000
59,BD+49 828 b,BD+49 828,1,1,0,Radial Velocity,2015,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,2590.00000000,4.200000,13.500,508.50000,442.0420000
60,BD+55 362 b,BD+55 362,1,1,0,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,265.59000000,0.780000,14.000,228.83645,52.5697000
61,BD+60 1417 b,BD+60 1417,1,1,0,Imaging,2021,Space,Wide-field Infrared Survey Explorer (WISE) Sat,0.4 m Telescope,HgCdTe and Si:As 1K Infrared Detectors,,1662.000000,14.684,4767.42610,44.9543000
62,BD+63 1405 b,BD+63 1405,1,1,0,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,1198.48000000,2.060000,13.000,1258.60049,38.0473000
63,BD-00 4475 b,BD-00 4475,1,1,0,Radial Velocity,2021,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,723.20000000,1.480000,12.000,7961.60160,42.6402000
